Code	GeoNameID	Name	AlternateForm
SG	1880251	Singeapór	
SH	3370751	San Héilin	
SI	3190538	An tSlóivéin	
SJ	607072	Svalbard agus Jan Mayen	
SK	3057568	An tSlóvaic	
SL	2403846	Siarra Leon	
SM	3168068	San Mairíne	
SN	2245662	An tSeineagáil	
SO	51537	An tSomáil	
SR	3382998	Suranam	
SS	7909807	An tSúdáin Theas	
ST	2410758	São Tomé agus Príncipe	
SV	3585968	An tSalvadóir	
SX	7609695	Sint Maarten	
SY	163843	An tSiria	
SZ	934841	An tSuasalainn	
TC	3576916	Oileáin na dTurcach agus Caicos	
TD	2434508	Sead	
TF	1546748	Críocha Francacha Dheisceart an Domhain	
TG	2363686	Tóga	
TH	1605651	An Téalainn	
TJ	1220409	An Táidsíceastáin	
TK	4031074	Tócalá	
TL	1966436	Tíomór Thoir	
TM	1218197	An Tuircméanastáin	
TN	2464461	An Túinéis	
TO	4032283	Tonga	
TR	298795	An Tuirc	
TT	3573591	Oileán na Tríonóide agus Tobága	
TV	2110297	Tuvalu	
TW	1668284	An Téaváin	
TZ	149590	An Tansáin	
UA	690791	An Úcráin	
UG	226074	Uganda	
UM	5854968	Oileáin Imeallacha S.A.M.	
US	6252001	Stáit Aontaithe Mheiriceá	
UY	3439705	Uragua	
UZ	1512440	An Úisbéiceastáin	
VA	3164670	Cathair na Vatacáine	
VC	3577815	San Uinseann agus na Greanáidíní	
VE	3625428	Veiniséala	
VG	3577718	Oileáin Bhriotanacha na Maighdean	
VI	4796775	Oileáin Mheiriceánacha na Maighdean	
VN	1562822	Vítneam	
VU	2134431	Vanuatú	
WF	4034749	Vailís agus Futúna	
WS	4034894	Samó	
XK	831053	An Chosaiv	
YE	69543	Éimin	
YT	1024031	Mayotte	
ZA	953987	An Afraic Theas	
ZM	895949	An tSaimbia	
ZW	878675	An tSiombáib	
